,Regressor,Param,Score,MAE
144,SGDRegressor,epsilon_insensitive-l2-0.001-10000000-invscaling-0.25,-0.22306733289130753,65.41625514899077
180,SGDRegressor,epsilon_insensitive-elasticnet-0.001-10000000-invscaling-0.25,-0.2230735607601575,65.41642894873387
138,SGDRegressor,epsilon_insensitive-l2-0.0001-10000000-invscaling-0.25,-0.22307905693827834,65.40237619629066
174,SGDRegressor,epsilon_insensitive-elasticnet-0.0001-10000000-invscaling-0.25,-0.2230808185753328,65.40241868027321
186,SGDRegressor,epsilon_insensitive-elasticnet-0.01-10000000-invscaling-0.25,-0.22570236494595974,65.54077987250814
150,SGDRegressor,epsilon_insensitive-l2-0.01-10000000-invscaling-0.25,-0.22572014518154448,65.53840543912543
168,SGDRegressor,epsilon_insensitive-l1-0.01-10000000-invscaling-0.25,-0.22592608056453445,65.59512141721805
87,SGDRegressor,huber-l2-0.0001-10000000-constant-0.75,-0.3857772955562049,67.95600903923459
86,SGDRegressor,huber-l2-0.0001-10000000-constant-0.25,-0.3857970252205556,67.95635607073736
123,SGDRegressor,huber-elasticnet-0.0001-10000000-constant-0.75,-0.38582197689223596,67.95743873069415
122,SGDRegressor,huber-elasticnet-0.0001-10000000-constant-0.25,-0.3858313574018446,67.95760045177703
104,SGDRegressor,huber-l1-0.0001-10000000-constant-0.25,-0.3860956365690138,67.96621419270406
105,SGDRegressor,huber-l1-0.0001-10000000-constant-0.75,-0.3866207801163821,67.97530765617132
93,SGDRegressor,huber-l2-0.001-10000000-constant-0.75,-0.3935544613142712,68.1257675980356
129,SGDRegressor,huber-elasticnet-0.001-10000000-constant-0.75,-0.39389922280931877,68.13616602987716
128,SGDRegressor,huber-elasticnet-0.001-10000000-constant-0.25,-0.39391090372953896,68.13637379541562
92,SGDRegressor,huber-l2-0.001-10000000-constant-0.25,-0.39415869285354344,68.1367218935947
111,SGDRegressor,huber-l1-0.001-10000000-constant-0.75,-0.39591116908505875,68.21571696825336
110,SGDRegressor,huber-l1-0.001-10000000-constant-0.25,-0.3959353044135998,68.21612090114984
98,SGDRegressor,huber-l2-0.01-10000000-constant-0.25,-0.3960209410458575,68.21982885475649
99,SGDRegressor,huber-l2-0.01-10000000-constant-0.75,-0.39602868987891116,68.21996273432859
117,SGDRegressor,huber-l1-0.01-10000000-constant-0.75,-0.3974241875660185,68.25567271213609
116,SGDRegressor,huber-l1-0.01-10000000-constant-0.25,-0.39746131739743973,68.25630130974777
135,SGDRegressor,huber-elasticnet-0.01-10000000-constant-0.75,-0.3974648458102541,68.25636104325751
134,SGDRegressor,huber-elasticnet-0.01-10000000-constant-0.25,-0.3974701632667246,68.25645106349809
100,SGDRegressor,huber-l2-0.01-10000000-optimal-0.25,-1.1282932606684457,84.81664519355937
101,SGDRegressor,huber-l2-0.01-10000000-optimal-0.75,-1.1283758356779514,84.81875895896897
118,SGDRegressor,huber-l1-0.01-10000000-optimal-0.25,-1.1293772776543274,84.84289814210423
137,SGDRegressor,huber-elasticnet-0.01-10000000-optimal-0.75,-1.1293910698444063,84.84325113407131
136,SGDRegressor,huber-elasticnet-0.01-10000000-optimal-0.25,-1.129471379815278,84.8453065135247
119,SGDRegressor,huber-l1-0.01-10000000-optimal-0.75,-1.1296127497741923,84.84892442857252
84,SGDRegressor,huber-l2-0.0001-10000000-invscaling-0.25,-3.874993718144907,150.45801492399016
90,SGDRegressor,huber-l2-0.001-10000000-invscaling-0.25,-3.874994245535758,150.45801970192724
120,SGDRegressor,huber-elasticnet-0.0001-10000000-invscaling-0.25,-3.874994708269365,150.45802557308036
96,SGDRegressor,huber-l2-0.01-10000000-invscaling-0.25,-3.874998189189836,150.45805497137678
102,SGDRegressor,huber-l1-0.0001-10000000-invscaling-0.25,-3.8750024452692164,150.45809639467205
126,SGDRegressor,huber-elasticnet-0.001-10000000-invscaling-0.25,-3.875006605303872,150.4581318323576
108,SGDRegressor,huber-l1-0.001-10000000-invscaling-0.25,-3.875044116034645,150.45847173540554
132,SGDRegressor,huber-elasticnet-0.01-10000000-invscaling-0.25,-3.875044116034645,150.45847173540554
114,SGDRegressor,huber-l1-0.01-10000000-invscaling-0.25,-3.875044116034645,150.45847173540554
145,SGDRegressor,epsilon_insensitive-l2-0.001-10000000-invscaling-0.75,-3.9521484746884177,151.94811780368252
181,SGDRegressor,epsilon_insensitive-elasticnet-0.001-10000000-invscaling-0.75,-3.952150420583486,151.94813696247473
175,SGDRegressor,epsilon_insensitive-elasticnet-0.0001-10000000-invscaling-0.75,-3.952152047043743,151.94814019312844
157,SGDRegressor,epsilon_insensitive-l1-0.0001-10000000-invscaling-0.75,-3.9521522335595147,151.94814113481743
187,SGDRegressor,epsilon_insensitive-elasticnet-0.01-10000000-invscaling-0.75,-3.9521528426457593,151.94815263569694
139,SGDRegressor,epsilon_insensitive-l2-0.0001-10000000-invscaling-0.75,-3.9521533159794453,151.94814323657448
163,SGDRegressor,epsilon_insensitive-l1-0.001-10000000-invscaling-0.75,-3.9521540681161946,151.94816354693535
151,SGDRegressor,epsilon_insensitive-l2-0.01-10000000-invscaling-0.75,-3.95215550801934,151.94816747935408
169,SGDRegressor,epsilon_insensitive-l1-0.01-10000000-invscaling-0.75,-3.952161038458642,151.94822698190035
121,SGDRegressor,huber-elasticnet-0.0001-10000000-invscaling-0.75,-3.9713384593753327,152.31644432012433
85,SGDRegressor,huber-l2-0.0001-10000000-invscaling-0.75,-3.9713384979466273,152.31644500696706
97,SGDRegressor,huber-l2-0.01-10000000-invscaling-0.75,-3.9713385487281156,152.31644532268976
127,SGDRegressor,huber-elasticnet-0.001-10000000-invscaling-0.75,-3.971338764528494,152.31644720578205
91,SGDRegressor,huber-l2-0.001-10000000-invscaling-0.75,-3.9713387881117113,152.31644651849294
103,SGDRegressor,huber-l1-0.0001-10000000-invscaling-0.75,-3.9713389561944057,152.3164489753198
109,SGDRegressor,huber-l1-0.001-10000000-invscaling-0.75,-3.971339076295412,152.31644986881525
133,SGDRegressor,huber-elasticnet-0.01-10000000-invscaling-0.75,-3.9713391796828716,152.31645057888767
115,SGDRegressor,huber-l1-0.01-10000000-invscaling-0.75,-3.9713391796828716,152.31645057888767
41,SGDRegressor,squared_error-l2-0.001-10000000-optimal-0.75,-8.669283753234362,155.7264956614677
40,SGDRegressor,squared_error-l2-0.001-10000000-optimal-0.25,-16.28225095036804,233.40795141534798
64,SGDRegressor,squared_error-l1-0.01-10000000-optimal-0.25,-18.284270843399888,270.16485182291575
